1,Venusaur V,['Grass'],Rare Holo
2,Weedle,['Grass'],Common
3,Kakuna,['Grass'],Common
4,Beedrill,['Grass'],Uncommon
5,Eldegoss V,['Grass'],Rare Holo
6,Vulpix,['Fire'],Common
7,Victini,['Fire'],Uncommon
8,Incineroar V,['Fire'],Rare Holo
9,Sizzlipede,['Fire'],Common
10,Centiskorch,['Fire'],Rare Holo
11,Carvanha,['Water'],Common
12,Sharpedo,['Water'],Uncommon
13,Wailord V,['Water'],Rare Holo
14,Drednaw V,['Water'],Rare Holo
15,Drednaw VMAX,['Water'],Rare Holo
16,Gardevoir V,['Psychic'],Rare Holo
17,Gardevoir VMAX,['Psychic'],Rare Holo
18,Hatenna,['Psychic'],Common
19,Hattrem,['Psychic'],Uncommon
20,Hatterene,['Psychic'],Rare Holo
21,Galarian Cursola V,['Psychic'],Rare Holo
22,Alcremie V,['Psychic'],Rare Holo
23,Alcremie VMAX,['Psychic'],Rare Holo
24,Machop,['Fighting'],Common
25,Machoke,['Fighting'],Uncommon
26,Machamp,['Fighting'],Rare Holo
27,Lucario V,['Fighting'],Rare Holo
28,Zygarde,['Fighting'],Rare Holo
29,Rockruff,['Fighting'],Common
30,Lycanroc,['Fighting'],Rare Holo
31,Rolycoly,['Fighting'],Common
32,Grapploct V,['Fighting'],Rare Holo
33,Ekans,['Darkness'],Common
34,Arbok,['Darkness'],Uncommon
35,Galarian Zigzagoon,['Darkness'],Common
36,Galarian Linoone,['Darkness'],Common
37,Galarian Obstagoon,['Darkness'],Rare Holo
38,Absol,['Darkness'],Uncommon
39,Purrloin,['Darkness'],Common
40,Liepard,['Darkness'],Uncommon
41,Scraggy,['Darkness'],Common
42,Scrafty,['Darkness'],Rare Holo
43,Trubbish,['Darkness'],Common
44,Inkay,['Darkness'],Common
45,Malamar,['Darkness'],Uncommon
46,Nickit,['Darkness'],Common
47,Duraludon V,['Metal'],Rare Holo
48,Swablu,['Colorless'],Common
49,Altaria,['Colorless'],Rare Holo
50,Bede,None,Uncommon
51,Full Heal,None,Common
52,Great Ball,None,Uncommon
53,Hop,None,Uncommon
54,Hyper Potion,None,Uncommon
55,Kabu,None,Uncommon
56,Marnie,None,Rare Holo
57,Milo,None,Uncommon
58,Piers,None,Uncommon
59,Poké Ball,None,Common
60,Pokémon Center Lady,None,Uncommon
61,Potion,None,Common
62,Professor's Research (Professor Magnolia),None,Rare Holo
63,Rotom Bike,None,Uncommon
64,Rotom Phone,None,Uncommon
65,Sonia,None,Uncommon
66,Suspicious Food Tin,None,Uncommon
67,Team Yell Grunt,None,Uncommon
68,Turffield Stadium,None,Uncommon
69,Drednaw V,['Water'],Rare Holo
70,Gardevoir V,['Psychic'],Rare Holo
71,Galarian Cursola V,['Psychic'],Rare Holo
72,Grapploct V,['Fighting'],Rare Holo
73,Hop,None,Rare Ultra
74,Charizard VMAX,['Fire'],Rare Secret
75,Drednaw VMAX,['Water'],Rare Secret
76,Gardevoir VMAX,['Psychic'],Rare Secret
77,Kabu,None,Rare Secret
78,Piers,None,Rare Secret
79,Charizard V,['Fire'],Rare Secret
80,Suspicious Food Tin,None,Rare Secret
