1,Oddish,['Grass'],Common
2,Gloom,['Grass'],Uncommon
3,Vileplume,['Grass'],Rare
4,Bellossom,['Grass'],Uncommon
5,Spinarak,['Grass'],Common
6,Ariados,['Grass'],Uncommon
7,Sceptile-EX,['Grass'],Rare Holo EX
8,M Sceptile-EX,['Grass'],Rare Holo EX
9,Combee,['Grass'],Common
10,Vespiquen,['Grass'],Uncommon
11,Vespiquen,['Grass'],Rare
12,Virizion,['Grass'],Rare Holo
13,Flareon,['Fire'],Uncommon
14,Entei,['Fire'],Rare
15,Entei,['Fire'],Rare Holo
16,Larvesta,['Fire'],Common
17,Volcarona,['Fire'],Rare Holo
18,Volcarona,['Fire'],Rare
19,Magikarp,['Water'],Common
20,Gyarados,['Water'],Rare
21,Gyarados,['Water'],Rare Holo
22,Vaporeon,['Water'],Uncommon
23,Relicanth,['Water'],Common
24,Regice,['Water'],Rare
25,Kyurem-EX,['Water'],Rare Holo EX
26,Jolteon,['Lightning'],Rare Holo
27,Ampharos-EX,['Lightning'],Rare Holo EX
28,M Ampharos-EX,['Lightning'],Rare Holo EX
29,Rotom,['Lightning'],Uncommon
30,Unown,['Psychic'],Common
31,Baltoy,['Psychic'],Common
32,Baltoy,['Psychic'],Common
33,Claydol,['Psychic'],Rare
34,Golett,['Psychic'],Common
35,Golurk,['Psychic'],Rare
36,Hoopa-EX,['Psychic'],Rare Holo EX
37,Machamp-EX,['Fighting'],Rare Holo EX
38,Wooper,['Fighting'],Common
39,Quagsire,['Fighting'],Common
40,Regirock,['Fighting'],Rare
41,Golurk,['Fighting'],Common
42,Tyranitar-EX,['Darkness'],Rare Holo EX
43,M Tyranitar-EX,['Darkness'],Rare Holo EX
44,Sableye,['Darkness'],Uncommon
45,Inkay,['Darkness'],Common
46,Malamar,['Darkness'],Common
47,Beldum,['Metal'],Common
48,Metang,['Metal'],Uncommon
49,Metagross,['Metal'],Rare
50,Metagross,['Metal'],Rare
51,Registeel,['Metal'],Rare
52,Ralts,['Fairy'],Common
53,Kirlia,['Fairy'],Uncommon
54,Gardevoir,['Fairy'],Rare Holo
55,Cottonee,['Fairy'],Common
56,Whimsicott,['Fairy'],Uncommon
57,Giratina-EX,['Dragon'],Rare Holo EX
58,Goomy,['Dragon'],Common
59,Sliggoo,['Dragon'],Uncommon
60,Goodra,['Dragon'],Rare Holo
61,Meowth,['Colorless'],Common
62,Persian,['Colorless'],Common
63,Eevee,['Colorless'],Common
64,Porygon,['Colorless'],Common
65,Porygon2,['Colorless'],Uncommon
66,Porygon-Z,['Colorless'],Rare
67,Porygon-Z,['Colorless'],Rare Holo
68,Lugia-EX,['Colorless'],Rare Holo EX
69,Ace Trainer,None,Uncommon
70,Ampharos Spirit Link,None,Uncommon
71,Eco Arm,None,Uncommon
72,Energy Recycler,None,Uncommon
73,Faded Town,None,Uncommon
74,Forest of Giant Plants,None,Uncommon
75,Hex Maniac,None,Uncommon
75,Hex Maniac,None,Uncommon
76,Level Ball,None,Uncommon
77,Lucky Helmet,None,Uncommon
78,Lysandre,None,Uncommon
79,Paint Roller,None,Uncommon
80,Sceptile Spirit Link,None,Uncommon
81,Tyranitar Spirit Link,None,Uncommon
82,Dangerous Energy,None,Uncommon
83,Flash Energy,None,Uncommon
84,Sceptile-EX,['Grass'],Rare Ultra
85,M Sceptile-EX,['Grass'],Rare Ultra
86,Kyurem-EX,['Water'],Rare Ultra
87,Ampharos-EX,['Lightning'],Rare Ultra
88,M Ampharos-EX,['Lightning'],Rare Ultra
89,Hoopa-EX,['Psychic'],Rare Ultra
90,Machamp-EX,['Fighting'],Rare Ultra
91,Tyranitar-EX,['Darkness'],Rare Ultra
92,M Tyranitar-EX,['Darkness'],Rare Ultra
93,Giratina-EX,['Dragon'],Rare Ultra
94,Lugia-EX,['Colorless'],Rare Ultra
95,Steven,None,Rare Ultra
96,Primal Kyogre-EX,['Water'],Rare Ultra
97,Primal Groudon-EX,['Fighting'],Rare Ultra
98,M Rayquaza-EX,['Colorless'],Rare Ultra
99,Energy Retrieval,None,Rare Secret
100,Trainers' Mail,None,Rare Secret
